Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
35,US-2017-116701,17-12-17,21-12-17,Second Class,LC-17140,Logan Currie,Texas,75220,Central,OFF-AP-10003217,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,66.284,2,0.8,-178.9668
36,CA-2017-126382,03-06-17,07-06-17,Standard Class,HK-14890,Heather Kirkland,Tennessee,37064,South,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",35.168,7,0.2,9.6712
37,CA-2017-108329,09-12-17,14-12-17,Standard Class,LE-16810,Laurel Elliston,California,90604,West,TEC-PH-10001918,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,444.768,4,0.2,44.4768
38,CA-2017-135860,01-12-17,07-12-17,Standard Class,JH-15985,Joseph Holt,Michigan,48601,Central,OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray",83.92,4,0,5.8744
39,CA-2017-135860,01-12-17,07-12-17,Standard Class,JH-15985,Joseph Holt,Michigan,48601,Central,TEC-PH-10001700,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,131.98,2,0,35.6346
40,CA-2017-135860,01-12-17,07-12-17,Standard Class,JH-15985,Joseph Holt,Michigan,48601,Central,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",15.92,4,0,7.4824
41,CA-2017-135860,01-12-17,07-12-17,Standard Class,JH-15985,Joseph Holt,Michigan,48601,Central,OFF-FA-10000134,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head",52.29,9,0,16.2099
42,CA-2017-135860,01-12-17,07-12-17,Standard Class,JH-15985,Joseph Holt,Michigan,48601,Central,OFF-ST-10001522,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",91.99,1,0,3.6796
43,US-2017-100930,07-04-17,12-04-17,Standard Class,CS-12400,Christopher Schild,Florida,33614,South,FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table,233.86,2,0.45,-102.048
44,US-2017-100930,07-04-17,12-04-17,Standard Class,CS-12400,Christopher Schild,Florida,33614,South,FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops,620.6145,3,0.45,-248.2458
45,US-2017-100930,07-04-17,12-04-17,Standard Class,CS-12400,Christopher Schild,Florida,33614,South,OFF-BI-10001679,Office Supplies,Binders,GBC Instant Index System for Binding Systems,5.328,2,0.7,-3.552
46,US-2017-100930,07-04-17,12-04-17,Standard Class,CS-12400,Christopher Schild,Florida,33614,South,FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",258.072,3,0.2,0
47,US-2017-100930,07-04-17,12-04-17,Standard Class,CS-12400,Christopher Schild,Florida,33614,South,TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone,617.976,3,0.2,-7.7247
48,CA-2017-160514,12-11-17,16-11-17,Standard Class,DB-13120,David Bremer,California,95051,West,OFF-PA-10002479,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),10.56,2,0,4.752
49,CA-2017-163139,01-12-17,03-12-17,Second Class,CC-12670,Craig Carreira,New York,10009,East,TEC-AC-10000290,Technology,Accessories,Sabrent 4-Port USB 2.0 Hub,20.37,3,0,6.9258
50,CA-2017-163139,01-12-17,03-12-17,Second Class,CC-12670,Craig Carreira,New York,10009,East,OFF-ST-10002790,Office Supplies,Storage,Safco Industrial Shelving,221.55,3,0,6.6465
51,CA-2017-163139,01-12-17,03-12-17,Second Class,CC-12670,Craig Carreira,New York,10009,East,OFF-BI-10003460,Office Supplies,Binders,Acco 3-Hole Punch,17.52,5,0.2,6.132
52,US-2017-155299,08-06-17,12-06-17,Standard Class,Dl-13600,Dorris liebe,Texas,77506,Central,OFF-AP-10002203,Office Supplies,Appliances,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,1.624,2,0.8,-4.466
53,CA-2017-136826,16-06-17,20-06-17,Standard Class,CB-12535,Claudia Bergmann,North Carolina,27514,South,OFF-AR-10003602,Office Supplies,Art,"Quartet Omega Colored Chalk, 12/Pack",14.016,3,0.2,4.7304
54,US-2017-145366,09-12-17,13-12-17,Standard Class,CA-12310,Christine Abelman,Ohio,45231,East,OFF-ST-10004180,Office Supplies,Storage,Safco Commercial Shelving,37.208,1,0.2,-7.4416
55,US-2017-145366,09-12-17,13-12-17,Standard Class,CA-12310,Christine Abelman,Ohio,45231,East,OFF-EN-10004386,Office Supplies,Envelopes,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",57.576,3,0.2,21.591
56,CA-2017-118136,16-09-17,17-09-17,First Class,BB-10990,Barry Blumstein,California,90301,West,OFF-PA-10002615,Office Supplies,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",8.82,2,0,4.0572
57,CA-2017-118136,16-09-17,17-09-17,First Class,BB-10990,Barry Blumstein,California,90301,West,OFF-AR-10001427,Office Supplies,Art,Newell 330,5.98,1,0,1.5548
58,CA-2017-132976,13-10-17,17-10-17,Standard Class,AG-10495,Andrew Gjertsen,Pennsylvania,19140,East,OFF-PA-10000673,Office Supplies,Paper,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad",11.648,2,0.2,4.0768
59,CA-2017-132976,13-10-17,17-10-17,Standard Class,AG-10495,Andrew Gjertsen,Pennsylvania,19140,East,OFF-PA-10004470,Office Supplies,Paper,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",18.176,4,0.2,5.9072
60,CA-2017-132976,13-10-17,17-10-17,Standard Class,AG-10495,Andrew Gjertsen,Pennsylvania,19140,East,OFF-ST-10000876,Office Supplies,Storage,Eldon Simplefile Box Office,59.712,6,0.2,5.9712
61,CA-2017-132976,13-10-17,17-10-17,Standard Class,AG-10495,Andrew Gjertsen,Pennsylvania,19140,East,OFF-LA-10002043,Office Supplies,Labels,Avery 489,24.84,3,0.2,8.694
62,US-2017-152380,19-11-17,23-11-17,Standard Class,JH-15910,Jonathan Howell,Illinois,60623,Central,FUR-TA-10002533,Furniture,Tables,BPI Conference Tables,219.075,3,0.5,-131.445
63,CA-2017-126774,15-04-17,17-04-17,First Class,SH-20395,Shahid Hopkins,Virginia,22204,South,OFF-AR-10002804,Office Supplies,Art,Faber Castell Col-Erase Pencils,4.89,1,0,2.0049
64,CA-2017-153339,03-11-17,05-11-17,Second Class,DJ-13510,Don Jones,Tennessee,37130,South,FUR-FU-10001967,Furniture,Furnishings,Telescoping Adjustable Floor Lamp,15.992,1,0.2,0.9995
65,CA-2017-169901,15-06-17,19-06-17,Standard Class,CC-12550,Clay Cheatham,California,94122,West,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,47.976,3,0.2,4.7976
66,CA-2017-134306,08-07-17,12-07-17,Standard Class,TD-20995,Tamara Dahlen,Massachusetts,1852,East,OFF-AR-10004027,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",7.56,3,0,3.0996
67,CA-2017-134306,08-07-17,12-07-17,Standard Class,TD-20995,Tamara Dahlen,Massachusetts,1852,East,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,24.56,2,0,11.5432
68,CA-2017-134306,08-07-17,12-07-17,Standard Class,TD-20995,Tamara Dahlen,Massachusetts,1852,East,OFF-AR-10001374,Office Supplies,Art,"BIC Brite Liner Highlighters, Chisel Tip",12.96,2,0,4.1472
69,CA-2017-155698,08-03-17,11-03-17,First Class,VB-21745,Victoria Brennan,Georgia,31907,South,OFF-AP-10001124,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,647.84,8,0,168.4384
70,CA-2017-155698,08-03-17,11-03-17,First Class,VB-21745,Victoria Brennan,Georgia,31907,South,OFF-LA-10001158,Office Supplies,Labels,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",20.7,2,0,9.936
71,CA-2017-144904,25-09-17,01-10-17,Standard Class,KW-16435,Katrina Willman,New York,10009,East,OFF-LA-10001158,Office Supplies,Labels,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",20.7,2,0,9.936
72,CA-2017-144904,25-09-17,01-10-17,Standard Class,KW-16435,Katrina Willman,New York,10009,East,FUR-CH-10000785,Furniture,Chairs,Global Ergonomic Managers Chair,488.646,3,0.1,86.8704
73,CA-2017-144904,25-09-17,01-10-17,Standard Class,KW-16435,Katrina Willman,New York,10009,East,OFF-AR-10003732,Office Supplies,Art,Newell 333,5.56,2,0,1.4456
74,CA-2017-144904,25-09-17,01-10-17,Standard Class,KW-16435,Katrina Willman,New York,10009,East,FUR-FU-10000023,Furniture,Furnishings,Eldon Wave Desk Accessories,47.12,8,0,20.7328
75,CA-2017-104745,29-05-17,04-06-17,Standard Class,GT-14755,Guy Thornton,Texas,78550,Central,OFF-PA-10002036,Office Supplies,Paper,Xerox 1930,25.92,5,0.2,9.396
76,CA-2017-104745,29-05-17,04-06-17,Standard Class,GT-14755,Guy Thornton,Texas,78550,Central,OFF-ST-10002205,Office Supplies,Storage,File Shuttle I and Handi-File,53.424,3,0.2,4.6746
77,US-2017-134481,27-08-17,01-09-17,Standard Class,AR-10405,Allen Rosenblatt,Massachusetts,2038,East,FUR-TA-10004915,Furniture,Tables,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",1488.424,7,0.3,-297.6848
78,CA-2017-101798,11-12-17,15-12-17,Standard Class,MV-18190,Mike Vittorini,New York,10009,East,OFF-BI-10000050,Office Supplies,Binders,"Angle-D Binders with Locking Rings, Label Holders",23.36,4,0.2,7.884
79,CA-2017-101798,11-12-17,15-12-17,Standard Class,MV-18190,Mike Vittorini,New York,10009,East,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,39.98,2,0,13.5932
80,CA-2017-102946,30-06-17,05-07-17,Standard Class,VP-21730,Victor Preis,Nevada,89115,West,OFF-BI-10004492,Office Supplies,Binders,Tuf-Vin Binders,75.792,3,0.2,25.5798
81,CA-2017-165603,17-10-17,19-10-17,Second Class,SS-20140,Saphhira Shifley,Rhode Island,2886,East,OFF-ST-10000798,Office Supplies,Storage,2300 Heavy-Duty Transfer File Systems by Perma,49.96,2,0,9.4924
82,CA-2017-165603,17-10-17,19-10-17,Second Class,SS-20140,Saphhira Shifley,Rhode Island,2886,East,OFF-PA-10002552,Office Supplies,Paper,Xerox 1958,12.96,2,0,6.2208
83,CA-2017-117933,24-12-17,29-12-17,Standard Class,RF-19840,Roy Französisch,New York,10024,East,OFF-AP-10004249,Office Supplies,Appliances,Staple holder,35.91,3,0,9.6957
84,CA-2017-117457,08-12-17,12-12-17,Standard Class,KH-16510,Keith Herrera,California,94110,West,TEC-AC-10000158,Technology,Accessories,Sony 64GB Class 10 Micro SDHC R40 Memory Card,179.95,5,0,37.7895
85,CA-2017-117457,08-12-17,12-12-17,Standard Class,KH-16510,Keith Herrera,California,94110,West,TEC-CO-10004115,Technology,Copiers,Sharp AL-1530CS Digital Copier,1199.976,3,0.2,434.9913
86,CA-2017-117457,08-12-17,12-12-17,Standard Class,KH-16510,Keith Herrera,California,94110,West,OFF-PA-10003724,Office Supplies,Paper,"Wirebound Message Book, 4 per Page",27.15,5,0,13.3035
87,CA-2017-117457,08-12-17,12-12-17,Standard Class,KH-16510,Keith Herrera,California,94110,West,FUR-TA-10002041,Furniture,Tables,"Bevis Round Conference Table Top, X-Base",1004.024,7,0.2,-112.9527
88,CA-2017-117457,08-12-17,12-12-17,Standard Class,KH-16510,Keith Herrera,California,94110,West,OFF-PA-10002893,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",9.68,1,0,4.6464
89,CA-2017-117457,08-12-17,12-12-17,Standard Class,KH-16510,Keith Herrera,California,94110,West,OFF-LA-10003766,Office Supplies,Labels,Self-Adhesive Removable Labels,28.35,9,0,13.608
90,CA-2017-117457,08-12-17,12-12-17,Standard Class,KH-16510,Keith Herrera,California,94110,West,OFF-PA-10001970,Office Supplies,Paper,Xerox 1908,55.98,1,0,27.4302
91,CA-2017-117457,08-12-17,12-12-17,Standard Class,KH-16510,Keith Herrera,California,94110,West,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,1336.829,13,0.15,31.4548
92,CA-2017-117457,08-12-17,12-12-17,Standard Class,KH-16510,Keith Herrera,California,94110,West,FUR-CH-10003956,Furniture,Chairs,Novimex High-Tech Fabric Mesh Task Chair,113.568,2,0.2,-18.4548
93,CA-2017-142636,03-11-17,07-11-17,Standard Class,KC-16675,Kimberly Carter,Washington,98105,West,OFF-PA-10000157,Office Supplies,Paper,Xerox 191,139.86,7,0,65.7342
94,CA-2017-142636,03-11-17,07-11-17,Standard Class,KC-16675,Kimberly Carter,Washington,98105,West,FUR-CH-10001891,Furniture,Chairs,Global Deluxe Office Fabric Chairs,307.136,4,0.2,26.8744
95,CA-2017-122105,24-06-17,28-06-17,Standard Class,CJ-12010,Caroline Jumper,California,92646,West,OFF-AR-10004344,Office Supplies,Art,Bulldog Vacuum Base Pencil Sharpener,95.92,8,0,25.8984
96,CA-2017-154816,06-11-17,10-11-17,Standard Class,VB-21745,Victoria Brennan,Kentucky,40475,South,OFF-PA-10003845,Office Supplies,Paper,Xerox 1987,5.78,1,0,2.8322
97,CA-2017-110478,04-03-17,09-03-17,Standard Class,SP-20860,Sung Pak,California,90045,West,OFF-AR-10001573,Office Supplies,Art,American Pencil,9.32,4,0,2.7028
98,CA-2017-110478,04-03-17,09-03-17,Standard Class,SP-20860,Sung Pak,California,90045,West,OFF-EN-10000483,Office Supplies,Envelopes,"White Envelopes, White Envelopes with Clear Poly Window",15.25,1,0,7.015
99,CA-2017-125388,19-10-17,23-10-17,Standard Class,MP-17965,Michael Paige,Massachusetts,1841,East,FUR-FU-10004712,Furniture,Furnishings,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",56.56,4,0,14.7056
100,CA-2017-125388,19-10-17,23-10-17,Standard Class,MP-17965,Michael Paige,Massachusetts,1841,East,OFF-ST-10000918,Office Supplies,Storage,Crate-A-Files,32.7,3,0,8.502
101,CA-2017-155705,21-08-17,23-08-17,Second Class,NF-18385,Natalie Fritzler,Mississippi,39212,South,FUR-CH-10000015,Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs,866.4,4,0,225.264
102,CA-2017-149160,23-11-17,26-11-17,Second Class,JM-15265,Janet Molinari,Michigan,48187,Central,FUR-FU-10003347,Furniture,Furnishings,Coloredge Poster Frame,28.4,2,0,11.076
103,CA-2017-149160,23-11-17,26-11-17,Second Class,JM-15265,Janet Molinari,Michigan,48187,Central,OFF-BI-10001543,Office Supplies,Binders,GBC VeloBinder Manual Binding System,287.92,8,0,138.2016
104,CA-2017-152275,01-10-17,08-10-17,Standard Class,KH-16630,Ken Heidel,Texas,78207,Central,OFF-AR-10000369,Office Supplies,Art,Design Ebony Sketching Pencil,6.672,6,0.2,0.5004
105,CA-2017-130043,15-09-17,19-09-17,Standard Class,BB-11545,Brenda Bowman,Texas,77070,Central,OFF-PA-10002230,Office Supplies,Paper,Xerox 1897,31.872,8,0.2,11.5536
106,CA-2017-157252,20-01-17,23-01-17,Second Class,CV-12805,Cynthia Voltz,New York,10024,East,FUR-CH-10003396,Furniture,Chairs,Global Deluxe Steno Chair,207.846,3,0.1,2.3094
107,CA-2017-154214,20-03-17,25-03-17,Second Class,TB-21595,Troy Blackwell,Indiana,47201,Central,FUR-FU-10000206,Furniture,Furnishings,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",2.91,1,0,1.3677
108,CA-2017-147277,20-10-17,24-10-17,Standard Class,EB-13705,Ed Braxton,Ohio,44312,East,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,284.364,2,0.4,-75.8304
109,CA-2017-147277,20-10-17,24-10-17,Standard Class,EB-13705,Ed Braxton,Ohio,44312,East,OFF-ST-10000142,Office Supplies,Storage,Deluxe Rollaway Locking File with Drawer,665.408,2,0.2,66.5408
110,CA-2017-154907,31-03-17,04-04-17,Standard Class,DS-13180,David Smith,Texas,79109,Central,FUR-BO-10002824,Furniture,Bookcases,Bush Mission Pointe Library,205.3328,2,0.32,-36.2352
111,CA-2017-140963,10-06-17,13-06-17,First Class,MT-18070,Michelle Tran,California,90045,West,OFF-LA-10003923,Office Supplies,Labels,Alphabetical Labels for Top Tab Filing,29.6,2,0,14.8
112,CA-2017-140963,10-06-17,13-06-17,First Class,MT-18070,Michelle Tran,California,90045,West,FUR-BO-10001337,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,514.165,5,0.15,-30.245
113,CA-2017-140963,10-06-17,13-06-17,First Class,MT-18070,Michelle Tran,California,90045,West,TEC-PH-10001924,Technology,Phones,iHome FM Clock Radio with Lightning Dock,279.96,5,0.2,17.4975
114,CA-2017-134978,12-11-17,15-11-17,Second Class,EB-13705,Ed Braxton,New York,10024,East,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",15.92,5,0.2,5.373
115,CA-2017-135307,26-11-17,27-11-17,First Class,LS-17245,Lynn Smith,Missouri,64118,Central,FUR-FU-10001290,Furniture,Furnishings,Executive Impressions Supervisor Wall Clock,126.3,3,0,40.416
116,CA-2017-135307,26-11-17,27-11-17,First Class,LS-17245,Lynn Smith,Missouri,64118,Central,TEC-AC-10002399,Technology,Accessories,SanDisk Cruzer 32 GB USB Flash Drive,38.04,2,0,12.1728
117,CA-2017-163405,21-12-17,25-12-17,Standard Class,BN-11515,Bradley Nguyen,California,90049,West,OFF-AR-10003811,Office Supplies,Art,Newell 327,6.63,3,0,1.7901
118,CA-2017-163405,21-12-17,25-12-17,Standard Class,BN-11515,Bradley Nguyen,California,90049,West,OFF-AR-10001246,Office Supplies,Art,Newell 317,5.88,2,0,1.7052
119,CA-2017-127432,22-01-17,27-01-17,Standard Class,AD-10180,Alan Dominguez,Montana,59405,West,TEC-CO-10003236,Technology,Copiers,Canon Image Class D660 Copier,2999.95,5,0,1379.977
120,CA-2017-127432,22-01-17,27-01-17,Standard Class,AD-10180,Alan Dominguez,Montana,59405,West,OFF-ST-10004507,Office Supplies,Storage,Advantus Rolling Storage Box,51.45,3,0,13.8915
121,CA-2017-127432,22-01-17,27-01-17,Standard Class,AD-10180,Alan Dominguez,Montana,59405,West,OFF-PA-10001667,Office Supplies,Paper,Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),11.96,2,0,5.382
122,CA-2017-127432,22-01-17,27-01-17,Standard Class,AD-10180,Alan Dominguez,Montana,59405,West,OFF-ST-10004459,Office Supplies,Storage,Tennsco Single-Tier Lockers,1126.02,3,0,56.301
123,CA-2017-145142,23-01-17,25-01-17,First Class,MC-17605,Matt Connell,Michigan,48234,Central,FUR-TA-10001857,Furniture,Tables,Balt Solid Wood Rectangular Table,210.98,2,0,21.098
124,CA-2017-113558,21-10-17,26-10-17,Standard Class,PH-18790,Patricia Hirasaki,Florida,33801,South,FUR-CH-10003379,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,683.952,3,0.2,42.747
125,CA-2017-113558,21-10-17,26-10-17,Standard Class,PH-18790,Patricia Hirasaki,Florida,33801,South,FUR-FU-10001756,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",45.696,3,0.2,5.1408
126,US-2017-129441,07-09-17,11-09-17,Standard Class,JC-15340,Jasper Cacioppo,California,90032,West,FUR-FU-10000448,Furniture,Furnishings,Tenex Chairmats For Use With Carpeted Floors,47.94,3,0,2.397
127,US-2017-122637,03-09-17,08-09-17,Second Class,EP-13915,Emily Phan,Illinois,60653,Central,OFF-BI-10002429,Office Supplies,Binders,"Premier Elliptical Ring Binder, Black",42.616,7,0.8,-68.1856
