name,empid,maritalstatusid,performancescore,salary,position,dob,gender,dateofhire,dateoftermination,terminationreason,employmentstatus,department,managername,jobsatisfactionscore,absences
"Carabbio, Judith",10085,0,3,93396,Software Engineer,04-05-87,F,11-11-13,,N/A-StillEmployed,Active,Software Engineering,Alex Sweetwater,4.96,3
"Carey, Michael  ",10115,0,3,52846,Production Technician I,02-02-83,M ,3/31/2014,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,4.43,14
"Carr, Claudia  N",10082,0,3,100031,Sr. DBA,06-06-86,F,6/30/2016,,N/A-StillEmployed,Active,IT/IS,Simon Roup,5,7
"Carter, Michelle ",10040,0,3,71860,Area Sales Manager,05/15/63,F,8/18/2014,,N/A-StillEmployed,Active,Sales,John Smith,5,7
"Chace, Beatrice ",10067,0,3,61656,Production Technician I,01-02-51,F,9/29/2014,,N/A-StillEmployed,Active,Production       ,Michael Albert,5,11
"Champaigne, Brian",10108,1,3,110929,BI Director,02-09-72,M ,09-06-16,,N/A-StillEmployed,Active,IT/IS,Jennifer Zamora,4.5,8
"Chan, Lin",10210,0,3,54237,Production Technician I,02-12-79,F,05-12-14,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,3.3,11
"Chang, Donovan  E",10154,0,3,60380,Production Technician I,08/24/83,M ,07-08-13,,N/A-StillEmployed,Active,Production       ,Webster Butler,3.8,4
"Chigurh, Anton",10200,0,3,66808,Area Sales Manager,06-11-70,M ,5/14/2012,,N/A-StillEmployed,Active,Sales,Lynn Daneault,3,17
"Chivukula, Enola",10240,0,3,64786,Production Technician I,08/27/83,F,6/27/2011,11/15/2015,relocation out of area,Voluntarily Terminated,Production       ,Amy Dunn,4.3,3
"Cierpiszewski, Caroline  ",10168,0,3,64816,Production Technician I,05/31/88,F,10-03-11,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,3.58,3
"Clayton, Rick",10220,0,3,68678,IT Support,09-05-85,M ,09-05-12,,N/A-StillEmployed,Active,IT/IS,Eric Dougall,4.7,2
"Cloninger, Jennifer",10275,1,3,64066,Production Technician II,08/31/81,F,5/16/2011,01-07-13,unhappy,Voluntarily Terminated,Production       ,Brannon Miller,4.2,9
"Close, Phil",10269,1,3,59369,Production Technician II,11/25/78,M ,8/30/2010,9/26/2011,career change,Voluntarily Terminated,Production       ,David Stanley,4.2,6
"Clukey, Elijian",10029,1,4,50373,Production Technician I,08/26/80,M ,07-06-16,,N/A-StillEmployed,Active,Production       ,Brannon Miller,4.1,5
"Cockel, James",10261,0,3,63108,Production Technician I,09-08-77,M ,07-08-13,,N/A-StillEmployed,Active,Production       ,David Stanley,4.4,3
"Cole, Spencer",10292,0,2,59144,Production Technician I,08-12-79,M ,07-11-11,9/23/2016,performance,Terminated for Cause,Production       ,Kissy Sullivan,2,16
"Corleone, Michael",10282,2,2,68051,Production Manager,12/17/75,M ,7/20/2010,,N/A-StillEmployed,Active,Production       ,Janet King,4.13,3
"Corleone, Vito",10019,0,4,170500,Director of Operations,03/19/83,M ,01-05-09,,N/A-StillEmployed,Active,Production       ,Janet King,3.7,15
"Cornett, Lisa ",10094,1,3,63381,Production Technician I,03/31/77,F,01-05-15,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,4.73,6
"Costello, Frank",10193,1,3,83552,Data Analyst,08/26/86,M ,3/30/2015,,N/A-StillEmployed,Active,IT/IS,Simon Roup,3.04,2
"Crimmings,   Jean",10132,0,3,56149,Production Technician I,04-10-87,F,07-06-16,,N/A-StillEmployed,Active,Production       ,Michael Albert,4.12,15
"Cross, Noah",10083,0,3,92329,Sr. Network Engineer,09-09-65,M ,11-10-14,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,5,5
"Daneault, Lynn",10099,0,3,65729,Sales Manager,04/19/90,F,05-05-14,,N/A-StillEmployed,Active,Sales,Debra Houlihan,4.62,8
"Daniele, Ann  ",10212,1,3,85028,Sr. Network Engineer,01/18/52,F,11-10-14,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,3.1,19
"Darson, Jene'ya ",10056,1,3,57583,Production Technician I,11-05-78,F,07-02-12,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,5,1
"Davis, Daniel",10143,0,3,56294,Production Technician II,09/14/79,M ,11-07-11,,N/A-StillEmployed,Active,Production       ,Kissy Sullivan,3.96,6
"Dee, Randy",10311,1,1,56991,Production Technician I,04/15/88,M ,07-09-18,,N/A-StillEmployed,Active,Production       ,Brannon Miller,4.3,2
"DeGweck,  James",10070,1,3,55722,Production Technician I,10/31/77,M ,5/16/2011,06-08-16,unhappy,Voluntarily Terminated,Production       ,Webster Butler,5,14
"Del Bosque, Keyla",10155,0,3,101199,Software Engineer,07-05-79,F,01-09-12,,N/A-StillEmployed,Active,Software Engineering,Alex Sweetwater,3.79,8
"Delarge, Alex",10306,0,1,61568,Area Sales Manager,11-02-75,M ,9/29/2014,,N/A-StillEmployed,Active,Sales,John Smith,1.93,5
"Demita, Carla",10100,3,3,58275,Production Technician II,02/25/51,F,04-04-11,11-04-15,more money,Voluntarily Terminated,Production       ,Kelley Spirea,4.62,1
"Desimone, Carl ",10310,1,1,53189,Production Technician I,04/19/67,M ,07-07-14,,N/A-StillEmployed,Active,Production       ,Amy Dunn,1.12,9
"DeVito, Tommy",10197,0,3,96820,BI Developer,09-04-83,M ,2/15/2017,,N/A-StillEmployed,Active,IT/IS,Brian Champaigne,3.01,15
"Dickinson, Geoff ",10276,0,3,51259,Production Technician I,11/15/82,M ,05-12-14,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,4.3,1
"Dietrich, Jenna  ",10304,0,1,59231,Area Sales Manager,05/14/87,F,2/20/2012,,N/A-StillEmployed,Active,Sales,John Smith,2.3,17
"DiNocco, Lily ",10284,1,2,61584,Production Technician I,12-02-78,F,01-07-13,,N/A-StillEmployed,Active,Production       ,Brannon Miller,3.88,6
"Dobrin, Denisa  S",10207,0,3,46335,Production Technician I,10-07-86,F,04-02-12,,N/A-StillEmployed,Active,Production       ,David Stanley,3.4,15
"Dolan, Linda",10133,1,3,70621,IT Support,07/18/88,F,01-05-15,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,4.11,16
"Dougall, Eric",10028,0,4,138888,IT Manager - Support,07-09-70,M ,01-05-14,,N/A-StillEmployed,Active,IT/IS,Jennifer Zamora,4.3,4
"Driver, Elle",10006,0,4,74241,Area Sales Manager,11-08-88,F,01-10-11,,N/A-StillEmployed,Active,Sales,Lynn Daneault,4.77,14
"Dunn, Amy  ",10105,0,3,75188,Production Manager,11/28/73,F,9/18/2014,,N/A-StillEmployed,Active,Production       ,Janet King,4.52,4
"Dunne, Amy",10211,1,3,62514,Production Technician I,09/23/73,F,4/26/2010,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,2.9,6
"Eaton, Marianne",10064,1,3,60070,Production Technician I,09-05-91,F,04-04-11,06-06-17,military,Voluntarily Terminated,Production       ,Kissy Sullivan,5,7
"Engdahl, Jean",10247,0,3,48888,Production Technician I,05/31/74,M ,11-10-14,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,4.7,8
"England, Rex",10235,1,3,54285,Production Technician I,08/25/78,M ,3/31/2014,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,4.2,3
"Erilus, Angela",10299,3,1,56847,Production Technician II,08/25/89,F,07-07-14,,N/A-StillEmployed,Active,Production       ,Michael Albert,3,5
"Estremera, Miguel",10280,0,2,60340,Production Technician I,09-02-83,M ,04-02-12,9/27/2018,attendance,Terminated for Cause,Production       ,Michael Albert,5,16
"Evensen, April",10296,0,2,59124,Production Technician I,05-06-89,F,2/17/2014,2/25/2018,"no-call, no-show",Terminated for Cause,Production       ,Elijiah Gray,2.3,19
"Exantus, Susan",10290,1,2,99280,Software Engineer,05/15/87,F,05-02-11,06-05-13,attendance,Terminated for Cause,Software Engineering,Alex Sweetwater,2.1,19
"Faller, Megan ",10263,1,3,71776,Production Technician II,09/22/78,F,07-07-14,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,4.4,17
"Fancett, Nicole",10136,0,3,65902,Production Technician II,09/27/87,F,2/17/2014,,N/A-StillEmployed,Active,Production       ,Webster Butler,4,7
"Ferguson, Susan",10189,1,3,57748,Production Technician I,04/14/55,F,11-07-11,5/17/2016,military,Voluntarily Terminated,Production       ,Webster Butler,3.13,16
"Fernandes, Nilson  ",10308,1,1,64057,Production Technician I,10/18/89,M ,05-11-15,,N/A-StillEmployed,Active,Production       ,Amy Dunn,1.56,15
"Fett, Boba",10309,0,1,53366,Network Engineer,06/18/87,M ,3/30/2015,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,1.2,2
"Fidelia,  Libby",10049,1,3,58530,Production Technician I,03/16/81,F,01-09-12,,N/A-StillEmployed,Active,Production       ,Brannon Miller,5,19
"Fitzpatrick, Michael  J",10093,0,3,72609,Production Technician II,10-01-81,M ,5/16/2011,6/24/2013,hours,Voluntarily Terminated,Production       ,Amy Dunn,4.76,20
"Foreman, Tanya",10163,1,3,55965,Production Technician II,11-08-83,F,04-04-11,01-09-13,career change,Voluntarily Terminated,Production       ,Ketsia Liebig,3.66,6
"Forrest, Alex",10305,1,3,70187,Area Sales Manager,07-07-75,M ,9/29/2014,8/19/2018,Fatal attraction,Terminated for Cause,Sales,Lynn Daneault,2,7
"Foss, Jason",10015,0,4,178000,IT Director,07-05-80,M ,4/15/2011,,N/A-StillEmployed,Active,IT/IS,Jennifer Zamora,5,15
"Foster-Baker, Amy",10080,1,3,99351,Sr. Accountant,04/16/79,F,01-05-09,,N/A-StillEmployed,Active,Admin Offices,Board of Directors,5,3
"Fraval, Maruk ",10258,0,3,67251,Area Sales Manager,08/28/63,M ,09-06-11,,N/A-StillEmployed,Active,Sales,Lynn Daneault,4.3,7
"Galia, Lisa",10273,0,3,65707,IT Support,07-06-68,F,05-01-10,,N/A-StillEmployed,Active,IT/IS,Eric Dougall,4.7,1
"Garcia, Raul",10111,0,3,52249,Production Technician I,09/15/85,M ,3/30/2015,,N/A-StillEmployed,Active,Production       ,David Stanley,4.5,5
"Gaul, Barbara",10257,0,3,53171,Production Technician I,12-02-83,F,5/16/2011,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,4.2,12
"Gentry, Mildred",10159,1,3,51337,Production Technician I,10-01-90,F,3/30/2015,,N/A-StillEmployed,Active,Production       ,Michael Albert,3.73,19
"Gerke, Melisa",10122,2,3,51505,Production Technician I,05/15/70,F,11-07-11,11/15/2016,hours,Voluntarily Terminated,Production       ,Elijiah Gray,4.24,2
"Gill, Whitney  ",10142,4,3,59370,Area Sales Manager,07-10-71,F,07-07-14,09-05-15,attendance,Terminated for Cause,Sales,John Smith,3.97,7
"Gilles, Alex",10283,1,2,54933,Production Technician I,08-09-74,M ,04-02-12,6/25/2015,military,Voluntarily Terminated,Production       ,Webster Butler,3.97,15
"Girifalco, Evelyn",10018,0,4,57815,Production Technician I,05-08-80,F,9/29/2014,,N/A-StillEmployed,Active,Production       ,Amy Dunn,3.9,3
"Givens, Myriam",10255,0,3,61555,Area Sales Manager,09/22/89,F,2/16/2015,,N/A-StillEmployed,Active,Sales,Lynn Daneault,4.5,20
"Goble, Taisha",10246,0,3,114800,Database Administrator,10/23/71,F,2/16/2015,3/15/2015,"no-call, no-show",Terminated for Cause,IT/IS,Simon Roup,4.6,10
"Goeth, Amon",10228,1,3,74679,IT Support,11/24/89,M ,3/30/2015,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,4.3,20
"Gold, Shenice  ",10243,0,3,53018,Production Technician I,06/18/92,F,11-11-13,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,4.3,7
"Gonzalez, Cayo",10031,2,4,59892,Production Technician I,09/29/69,M ,07-11-11,,N/A-StillEmployed,Active,Production       ,Brannon Miller,4.5,1
"Gonzalez, Juan",10300,1,1,68898,Production Technician II,10-12-64,M ,4/26/2010,5/30/2011,career change,Voluntarily Terminated,Production       ,Brannon Miller,3,10
"Gonzalez, Maria",10101,3,3,61242,IT Support,04/16/81,F,01-05-15,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,4.61,11
"Good, Susan",10237,1,3,66825,Production Technician II,05/25/86,F,05-12-14,,N/A-StillEmployed,Active,Production       ,David Stanley,4.6,20
"Gordon, David",10051,1,3,48285,Production Technician I,05/21/79,M ,07-02-12,,N/A-StillEmployed,Active,Production       ,David Stanley,5,2
"Gosciminski, Phylicia  ",10218,3,3,66149,Production Technician II,12-08-83,F,9/30/2013,,N/A-StillEmployed,Active,Production       ,Kissy Sullivan,4.4,1
"Goyal, Roxana",10256,1,3,49256,Production Technician I,10-09-74,F,8/19/2013,,N/A-StillEmployed,Active,Production       ,Kissy Sullivan,4.1,3
"Gray, Elijiah  ",10098,2,3,62957,Production Manager,07-11-81,M ,06-02-15,,N/A-StillEmployed,Active,Production       ,Janet King,4.63,2
"Gross, Paula",10059,2,3,63813,Production Technician I,05/21/83,F,2/21/2011,01-11-14,more money,Voluntarily Terminated,Production       ,Kelley Spirea,5,17
"Gruber, Hans",10234,1,3,99020,BI Developer,06/30/89,M ,4/20/2017,,N/A-StillEmployed,Active,IT/IS,Brian Champaigne,4.2,8
"Guilianno, Mike",10109,0,3,71707,Area Sales Manager,02-09-69,M ,03-07-12,10/31/2014,relocation out of area,Voluntarily Terminated,Sales,John Smith,4.5,20
"Handschiegl, Joanne",10125,1,3,54828,Production Technician I,03/23/77,F,11/28/2011,,N/A-StillEmployed,Active,Production       ,Michael Albert,4.2,13
"Hankard, Earnest",10074,0,3,64246,Production Technician II,08-10-88,M ,11-11-13,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,5,20
"Harrington, Christie ",10097,0,3,52177,Production Technician I,08/18/52,F,01-09-12,12/15/2015,retiring,Voluntarily Terminated,Production       ,Webster Butler,4.64,8
"Harrison, Kara",10007,1,4,62065,Production Technician I,05-02-74,F,05-12-14,,N/A-StillEmployed,Active,Production       ,Amy Dunn,4.76,5
"Heitzman, Anthony",10129,0,3,46998,Production Technician I,01-04-84,M ,8/13/2012,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,4.17,1
"Hendrickson, Trina",10075,0,3,68099,Production Technician II,08/27/72,F,01-10-11,6/18/2013,hours,Voluntarily Terminated,Production       ,Kelley Spirea,5,15
"Hitchcock, Alfred",10167,1,3,70545,Area Sales Manager,09/14/88,M ,8/18/2014,,N/A-StillEmployed,Active,Sales,John Smith,3.6,9
"Homberger, Adrienne  J",10195,1,3,63478,Production Technician II,02/16/84,F,8/15/2011,04-07-12,relocation out of area,Voluntarily Terminated,Production       ,Michael Albert,3.03,16
"Horton, Jayne",10112,0,3,97999,Database Administrator,02/21/84,F,3/30/2015,,N/A-StillEmployed,Active,IT/IS,Simon Roup,4.48,4
"Houlihan, Debra",10272,1,3,180000,Director of Sales,03/17/66,F,05-05-14,,N/A-StillEmployed,Active,Sales,Janet King,4.5,19
"Howard, Estelle",10182,1,3,49920,Administrative Assistant,09/16/85,F,2/16/2015,4/15/2015,"no-call, no-show",Terminated for Cause,Admin Offices,Brandon R. LeBlanc,3.24,6
"Hudson, Jane",10248,0,3,55425,Production Technician I,06-10-86,F,2/20/2012,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,4.8,4
"Hunts, Julissa",10201,0,3,69340,Production Technician II,03-11-84,F,06-06-16,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,3,4
"Hutter, Rosalie",10214,3,3,64995,Production Technician II,05-07-92,F,06-05-15,,N/A-StillEmployed,Active,Production       ,Webster Butler,4.5,6
"Huynh, Ming",10160,2,3,68182,Production Technician II,09/22/76,F,2/21/2011,04-01-13,unhappy,Voluntarily Terminated,Production       ,Amy Dunn,3.72,18
"Immediato, Walter",10289,1,2,83082,Production Manager,11/15/76,M ,2/21/2011,9/24/2012,unhappy,Voluntarily Terminated,Production       ,Janet King,2.34,4
"Ivey, Rose ",10139,0,3,51908,Production Technician I,01/28/91,F,8/19/2013,,N/A-StillEmployed,Active,Production       ,Brannon Miller,3.99,14
"Jackson, Maryellen",10227,0,3,61242,Production Technician I,09-11-72,F,11-05-12,,N/A-StillEmployed,Active,Production       ,David Stanley,4.1,7
"Jacobi, Hannah  ",10236,2,3,45069,Production Technician I,03/22/66,F,9/30/2013,,N/A-StillEmployed,Active,Production       ,Kissy Sullivan,4.3,7
"Jeannite, Tayana",10009,2,4,60724,Production Technician II,11-06-86,F,07-05-11,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,4.6,11
"Jhaveri, Sneha  ",10060,3,3,60436,Production Technician I,04/13/64,F,01-06-14,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,5,9
"Johnson, George",10034,1,4,46837,Production Technician I,08/19/59,M ,11-07-11,4/29/2018,more money,Voluntarily Terminated,Production       ,Michael Albert,4.7,9
"Johnson, Noelle ",10156,1,3,105700,Database Administrator,11-07-86,F,01-05-15,,N/A-StillEmployed,Active,IT/IS,Simon Roup,3.75,2
"Johnston, Yen",10036,0,4,63322,Production Technician II,09-08-69,F,07-07-14,,N/A-StillEmployed,Active,Production       ,Brannon Miller,4.3,1
"Jung, Judy  ",10138,1,3,61154,Production Technician I,04/17/86,F,01-10-11,04-01-16,unhappy,Voluntarily Terminated,Production       ,Elijiah Gray,4,4
"Kampew, Donysha",10244,0,3,68999,Sales Manager,11-11-89,F,11-07-11,4/24/2014,maternity leave - did not return,Voluntarily Terminated,Sales,Debra Houlihan,4.5,2
"Keatts, Kramer ",10192,0,3,50482,Production Technician I,01/19/76,M ,9/30/2013,,N/A-StillEmployed,Active,Production       ,Michael Albert,3.07,10
"Khemmich, Bartholemew",10231,0,3,65310,Area Sales Manager,11/27/79,M ,8/19/2013,,N/A-StillEmployed,Active,Sales,Lynn Daneault,4.3,13
"King, Janet",10089,1,3,250000,President & CEO,09/21/54,F,07-02-12,,N/A-StillEmployed,Active,Executive Office,Board of Directors,4.83,10
"Kinsella, Kathleen  ",10166,1,3,54005,Production Technician I,12-08-73,F,9/26/2011,06-04-15,more money,Voluntarily Terminated,Production       ,Webster Butler,3.6,16
"Kirill, Alexandra  ",10170,1,3,45433,Production Technician I,10-08-70,F,9/26/2011,01-09-14,more money,Voluntarily Terminated,Production       ,Amy Dunn,3.49,6
"Knapp, Bradley  J",10208,0,3,46654,Production Technician I,11-10-77,M ,2/17/2014,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,3.1,3
"Kretschmer, John",10176,1,3,63973,Production Technician I,02-02-80,M ,01-10-11,,N/A-StillEmployed,Active,Production       ,Brannon Miller,3.38,17
"Kreuger, Freddy",10165,0,3,71339,Area Sales Manager,02/24/69,M ,03-07-11,,N/A-StillEmployed,Active,Sales,John Smith,3.65,20
"Lajiri,  Jyoti",10113,1,3,93206,Sr. Network Engineer,04/23/86,M ,11-10-14,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,4.46,7
"Landa, Hans",10092,1,3,82758,Production Manager,07-01-72,M ,01-10-11,12-12-15,attendance,Terminated for Cause,Production       ,Janet King,4.78,9
"Langford, Lindsey",10106,2,3,66074,Production Technician II,07/25/79,F,01-07-13,3/31/2014,Another position,Voluntarily Terminated,Production       ,David Stanley,4.52,20
"Langton, Enrico",10052,1,3,46120,Production Technician I,12-09-86,M ,07-09-12,,N/A-StillEmployed,Active,Production       ,David Stanley,5,13
"LaRotonda, William  ",10038,2,3,64520,Accountant I,04/26/84,M ,01-06-14,,N/A-StillEmployed,Active,Admin Offices,Brandon R. LeBlanc,5,3
"Latif, Mohammed",10249,1,3,61962,Production Technician II,05-09-84,M ,04-02-12,4/15/2013,more money,Voluntarily Terminated,Production       ,Kissy Sullivan,4.9,20
"Le, Binh",10232,0,3,81584,Senior BI Developer,06/14/87,F,10-02-16,,N/A-StillEmployed,Active,IT/IS,Brian Champaigne,4.1,2
"Leach, Dallas",10087,0,3,63676,Production Technician I,01/17/79,F,9/26/2011,8/19/2018,return to school,Voluntarily Terminated,Production       ,Kissy Sullivan,4.88,17
"LeBlanc, Brandon  R",10134,1,3,93046,Shared Services Manager,06-10-84,M ,01-05-16,,N/A-StillEmployed,Active,Admin Offices,Janet King,4.1,20
"Lecter, Hannibal",10251,1,3,64738,Production Technician I,09-02-82,M ,5/14/2012,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,4.1,10
"Leruth, Giovanni",10103,3,3,70468,Area Sales Manager,12/27/88,M ,4/30/2012,,N/A-StillEmployed,Active,Sales,John Smith,4.53,16
"Liebig, Ketsia",10017,1,4,77915,Production Manager,10/26/81,F,9/30/2013,,N/A-StillEmployed,Active,Production       ,Janet King,4.1,11
"Linares, Marilyn ",10186,1,3,52624,Production Technician I,03/26/81,F,07-05-11,9/26/2018,unhappy,Voluntarily Terminated,Production       ,Michael Albert,3.18,16
"Linden, Mathew",10137,1,3,63450,Production Technician II,03/19/79,M ,07-08-13,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,4,7
"Lindsay, Leonara ",10008,0,4,51777,IT Support,10-05-88,F,1/21/2011,,N/A-StillEmployed,Active,IT/IS,Eric Dougall,4.64,14
"Lundy, Susan",10096,4,3,67237,Production Technician II,12/26/76,F,07-08-13,9/15/2016,more money,Voluntarily Terminated,Production       ,Michael Albert,4.65,15
"Lunquist, Lisa",10035,0,4,73330,Production Technician II,03/28/82,F,8/19/2013,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,4.2,19
"Lydon, Allison",10057,1,3,52057,Production Technician I,10/22/75,F,2/16/2015,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,5,6
"Lynch, Lindsay",10004,0,4,47434,Production Technician I,02/14/73,F,11-07-11,11/14/2015,Another position,Voluntarily Terminated,Production       ,Webster Butler,5,17
